date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice			
02-2014	14	2	Toronto C01	270	135796567	502950	407750	719	43.5	1173	3.8	100	30	-	2	2085111	1042556	1042556	11	10	113	7	15	13464301	897620	875000	17	11	112	11	9	9069105	1007678	460000	25	34	101	16	234	102556550	438276	385100	649	1104	98	32	9	8276000	919556	808000	15	12	107	29	243	110832550	456101.0288			
02-2014	14	2	Toronto C02	49	53648635	1094870	947500	121	46.1	204	4	102	25	-	13	21286901	1637454	1422000	16	22	99	28	7	11379796	1625685	1600000	19	14	111	8	4	3034900	758725	754950	2	4	101	17	18	11931499	662861	541000	76	160	96	40	5	5541539	1108308	985000	7	3	107	7	23	17473038	759697.3043			
02-2014	14	2	Toronto C03	36	48881688	1357825	848000	85	57.4	96	2.4	99	28	-	22	39258188	1784463	1484000	51	53	98	30	5	3185000	637000	738500	9	9	112	7	-	-	-	-	4	4	-	-	7	4766500	680929	689000	19	24	99	33	1	1440000	1440000	1440000	-	2	96	37	8	6206500	775812.5			
02-2014	14	2	Toronto C04	69	84983901	1231651	1151000	168	51.5	206	2.6	100	19	-	44	72160479	1640011	1490000	128	152	100	13	2	2416100	1208050	1208050	3	2	100	12	-	-	-	-	1	1	-	-	20	9312822	465641	379750	28	39	98	31	1	755000	755000	755000	6	8	98	17	21	10067822	479420.0952			
02-2014	14	2	Toronto C06	23	12585400	547191	426000	48	45.6	64	3.5	101	25	-	9	7465500	829500	825000	15	18	102	9	-	-	-	-	-	-	-	-	1	466000	466000	466000	2	3	100	20	13	4653900	357992	347500	31	43	98	36	-	-	-	-	-	-	-	-	-	-	-			
02-2014	14	2	Toronto C07	73	38188107	523125	395000	164	47.7	238	3.3	98	34	-	19	17459870	918941	865000	51	72	98	39	2	1242500	621250	621250	4	5	96	15	5	2032299	406460	417000	5	5	100	6	47	17453438	371350	363000	99	152	98	36	-	-	-	-	3	2	-	-	-	-	-			
02-2014	14	2	Toronto C08	108	46587200	431363	392500	201	54.1	286	2.7	99	26	-	-	-	-	-	2	3	-	-	3	2464000	821333	872000	6	6	110	13	1	491000	491000	491000	5	6	98	25	99	40958400	413721	382000	182	266	98	27	4	2398800	599700	599900	4	3	103	12	103	43357200	420943.6893			
02-2014	14	2	Toronto C09	29	31473327	1085287	705000	45	55.2	63	2.9	98	26	-	8	16716417	2089552	1893150	20	35	97	15	1	1549000	1549000	1549000	1	5	100	6	2	1485000	742500	742500	4	2	105	5	11	6818910	619901	539000	14	15	97	19	1	1595000	1595000	1595000	1	-	100	4	12	8413910	701159.1667			
02-2014	14	2	Toronto C10	36	25852288	718119	516500	70	58.6	81	2	104	18	-	10	12263000	1226300	1196500	18	18	107	20	5	4817000	963400	910000	6	4	109	6	1	428500	428500	428500	3	4	100	78	19	8174788	430252	422000	39	52	98	18	-	-	-	-	1	1	-	-	-	-	-			
02-2014	14	2	Toronto C11	38	25261501	664776	276250	78	62.6	81	1.7	106	20	-	12	17354334	1446195	1332807	24	25	107	14	3	2534000	844667	788000	5	1	114	4	3	859750	286583	190500	3	2	103	10	20	4513417	225671	214250	46	53	99	28	-	-	-	-	-	-	-	-	-	-	-			
