"","date","year","month","area","numofsales","dollarVolume","allAveragePrice","allMedianPrice","newListings","SNLRTrend","activeListings","mosInvTrend","avgSPLP","avgLDOM","avgPDOM","detachedNumberofSales","detachedDollarVolume","detachedAveragePrice","detachedMedianPrice","detachedNewListings","detachedActiveListings","detachedAvgSPLP","detachedAvgLDOM","semidetachedNumberofSales","semidetachedDollarVolume","semidetachedAveragePrice","semidetachedMedianPrice","semidetachedNewListings","semidetachedActiveListings","semidetachedAvgSPLP","semidetachedAvgLDOM","attachedNumberofSales","attachedDollarVolume","attachedAveragePrice","attachedMedianPrice","attachedNewListings","attachedActiveListings","attachedAvgSPLP","attachedAvgLDOM","condotownhouseNumberofSales","condotownhouseDollarVolume","condotownhouseAveragePrice","condotownhouseMedianPrice","condotownhouseNewListings","condotownhouseActiveListings","condotownhouseAvgSPLP","condotownhouseAvgLDOM","condoapartmentNumberofSales","condoapartmentDollarVolume","condoapartmentAveragePrice","condoapartmentMedianPrice","condoapartmentNewListings","condoapartmentActiveListings","condoapartmentAvgSPLP","condoapartmentAvgLDOM","allcondoNumberofSales","allcondoDollarVolume","allcondoAveragePrice","...59","...60","...61"
"26","01-2012",12,"1","Oakville",118,69439300,588469,540000,254,59.4,347,2.7,97,29,"-","71","49968900","703787","615000","164",252,"97","32","6","2666000","444333","454000","11","8","100","10","10","3496600","349660","310000","10","11","98","36","9","3242000","360222","234000","35","44","98","27","21","9655800","459800","435000","33","30","98","24","30","12897800","429926.6667",NA,NA,NA
"27","01-2012",12,"1","Orangeville",35,10562800,301794,295000,82,64.4,114,2.6,98,50,"-","25","8276800","331072","311000","56",84,"98","48","3","742000","247333","245000","3","4","98","56","4","785000","196250","207500","4","1","98","37","2","489000","244500","244500","14","21","98","111","-","-","-","-","1","1","-","--","-","-","-",NA,NA,NA
"28","01-2012",12,"1","Oshawa",157,39667116,252657,242500,283,58.6,361,2.6,97,36,"-","119","32609861","274032","260000","197",253,"97","35","16","3308700","206794","197000","38","38","98","41","15","2339655","155977","137655","24","32","97","38","3","560000","186667","122500","9","19","97","65","3","588900","196300","236000","7","10","98","28","6","1148900","191483.3333",NA,NA,NA
"29","01-2012",12,"1","Peel Region",1060,442462354,417417,377500,2045,60.9,2363,2,98,31,"-","456","248784752","545581","485500","949",1171,"97","30","204","78462901","384622","374450","325","261","99","21","116","34571661","298032","291950","190","228","98","37","196","48516440","247533","228000","436","595","97","42","77","27703000","359779","350000","124","92","99","24","273","76219440","279192.0879",NA,NA,NA
"30","01-2012",12,"1","Pickering",65,25567500,393346,363000,156,62.2,186,2,97,33,"-","31","15811400","510045","437000","94",117,"97","35","7","2302700","328957","337800","14","14","97","16","13","3287400","252877","232500","21","20","97","38","4","1086500","271625","280750","11","21","101","25","8","2470500","308813","295750","14","12","98","38","12","3557000","296416.6667",NA,NA,NA
"31","01-2012",12,"1","Richmond Hill",162,104781319,646798,533400,261,64.2,269,1.6,98,29,"-","83","73548100","886122","728000","151",174,"97","31","6","2812000","468667","456750","8","3","99","17","9","3200600","355622","339000","11","10","99","24","29","8461899","291790","283000","46","59","97","46","29","13747720","474059","475000","37","19","101","12","58","22209619","382924.4655",NA,NA,NA
"32","01-2012",12,"1","Scugog",18,5606100,311450,316500,36,50.9,88,4.9,98,46,"-","18","5606100","311450","316500","36",87,"98","46","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA
"33","01-2012",12,"1","Simcoe County",100,34197067,341971,330500,214,56.8,477,4.4,97,52,"-","76","27741667","365022","345750","174",410,"97","56","5","1568000","313600","340000","8","8","98","30","5","966400","193280","183900","5","5","98","58","1","190000","190000","190000","4","8","97","7","7","1731000","247286","246000","13","22","98","29","8","1921000","240125",NA,NA,NA
"34","01-2012",12,"1","Toronto C01",193,84774582,439247,385750,654,54.6,867,2.6,98,32,"-","3","2450968","816989","635000","8",8,"95","48","8","5500100","687513","662500","14","15","101","21","8","3471900","433988","437500","18","20","99","31","167","68448914","409874","362500","604","811","98","32","6","4723700","787283","791000","10","12","96","40","173","73172614","422963.0867",NA,NA,NA
"35","01-2012",12,"1","Toronto C02",36,34249000,951361,824750,109,55.7,171,2.7,99,39,"-","13","14041000","1080077","782500","25",24,"102","23","4","4542000","1135500","931000","9","11","96","31","1","495000","495000","495000","3","9","114","6","17","14021000","824765","645000","68","122","97","51","1","1150000","1150000","1150000","4","4","96","129","18","15171000","842833.3333",NA,NA,NA
"36","01-2012",12,"1","Toronto C03",27,22784400,843867,617000,57,59.8,73,2.3,101,33,"-","8","11573500","1446688","1355000","35",43,"102","23","11","5423000","493000","390000","10","11","102","24","-","-","-","-","-","-","-","-","6","3800900","633483","598500","8","16","96","72","1","1720000","1720000","1720000","2","1","100","9","7","5520900","788700",NA,NA,NA
"37","01-2012",12,"1","Toronto C04",62,58463663,942962,883000,103,61.3,122,1.9,101,23,"-","44","48950800","1112518","993750","71",72,"101","18","7","5570200","795743","835000","8","2","109","6","-","-","-","-","-","2","-","-","10","3737163","373716","316750","18","34","98","48","-","-","-","-","3","4","-","-","-","-","-",NA,NA,NA
"38","01-2012",12,"1","Toronto C06",21,12198490,580880,585000,45,61.1,50,2.1,100,24,"-","11","9012200","819291","635000","15",19,"101","22","-","-","-","-","-","-","-","-","1","392000","392000","392000","3","2","99","9","9","2794290","310477","321000","27","29","98","29","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA
"39","01-2012",12,"1","Toronto C07",66,40290399,610461,440000,136,64.8,139,1.7,98,32,"-","25","24015300","960612","830000","45",41,"97","35","2","1005000","502500","502500","2","-","98","18","1","342000","342000","342000","6","8","99","55","35","12318099","351946","328000","79","89","98","31","3","2610000","870000","885000","4","1","98","8","38","14928099","392844.7105",NA,NA,NA
"40","01-2012",12,"1","Toronto C08",76,32537886,428130,385500,205,62.1,254,2,99,37,"-","1","1300000","1300000","1300000","1",4,"113","2","4","2879000","719750","642500","6","6","98","25","3","1346686","448895","320000","10","10","97","3","65","25107300","386266","365000","181","227","98","41","3","1904900","634967","599900","7","7","104","6","68","27012200","397238.2353",NA,NA,NA
"41","01-2012",12,"1","Toronto C09",14,13676000,976857,1115000,45,63.9,52,2.1,97,45,"-","5","6330000","1266000","1175000","17",18,"96","31","2","2347000","1173500","1173500","4","5","95","16","-","-","-","-","2","3","-","-","4","2877000","719250","707000","14","16","96","65","1","1617000","1617000","1617000","-","-","101","76","5","4494000","898800",NA,NA,NA
"42","01-2012",12,"1","Toronto C10",30,19857851,661928,497500,78,70.6,65,1.5,101,17,"-","9","9895601","1099511","1e+06","16",10,"103","12","1","880000","880000","880000","2","1","117","3","1","413000","413000","413000","3","2","100","14","19","8669250","456276","395000","53","47","98","20","-","-","-","-","3","3","-","-","-","-","-",NA,NA,NA
"43","01-2012",12,"1","Toronto C11",28,12840900,458604,262500,50,65.6,60,1.8,100,27,"-","6","7478000","1246333","1213000","17",16,"103","4","-","-","-","-","2","2","-","-","3","663000","221000","158000","3","5","97","42","18","4079900","226661","2.00E+05","28","37","97","33","1","620000","620000","620000","-","-","99","20","19","4699900","247363.1579",NA,NA,NA
"44","01-2012",12,"1","Toronto C12",17,28228500,1660500,1493000,55,52.8,112,3.4,98,46,"-","12","25768500","2147375","2206000","36",79,"98","51","-","-","-","-","-","-","-","-","3","1745000","581667","632000","5","5","100","28","2","715000","357500","357500","13","27","96","42","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA
"45","01-2012",12,"1","Toronto C13",44,27359938,621817,401000,78,65.6,80,1.8,100,19,"-","13","16435039","1264234","894000","24",20,"102","10","5","2229000","445800","448500","5","3","102","12","2","578499","289250","289250","1","-","98","31","23","7710400","335235","317500","45","54","97","25","1","407000","407000","407000","2","1","102","16","24","8117400","338225",NA,NA,NA
